iter	RMSE
0	232.7547402
1	221.2442772
2	210.5404572
3	200.6385989
4	191.2673655
5	182.5431169
6	174.1101675
7	166.3336503
8	159.0777273
9	152.1806288
10	145.6906085
11	139.5473063
12	133.8325607
13	128.5494453
14	123.5475244
15	118.5494161
16	114.1230086
17	110.1588613
18	106.2302398
19	102.7068332
20	99.36112668
21	96.21620976
22	93.19198641
23	90.56734149
24	88.20140255
25	85.96370789
26	83.73370396
27	81.81151352
28	80.00787207
29	78.27753265
30	76.7388438
31	75.25442845
32	73.88859332
33	72.74905294
34	71.57614505
35	70.49340025
36	69.49264607
37	68.62626831
38	67.84386168
39	67.19617387
40	66.53288683
41	65.8731279
42	65.35896632
43	64.84353992
44	64.38516983
45	64.00594186
46	63.64148848
47	63.28098432
48	62.94502374
49	62.67927083
50	62.42281978
51	62.18571318
52	61.9809009
53	61.7829555
54	61.5950717
55	61.41186011
56	61.25261597
57	61.13231916
58	60.99428998
59	60.86531582
60	60.72507507
61	60.61229394
62	60.49544336
63	60.4006287
64	60.29429995
65	60.2096783
66	60.13320948
67	60.06140014
68	60.0009682
69	59.92397
70	59.87089897
71	59.80746275
72	59.74386214
73	59.69458191
74	59.65410907
75	59.60141963
76	59.55063922
77	59.51034484
78	59.45495763
79	59.40944551
80	59.3732692
81	59.33493901
82	59.29801188
83	59.26389094
84	59.22763209
85	59.18081419
86	59.13019129
87	59.11415589
88	59.09784752
89	59.06960697
90	59.03344021
91	58.99433109
92	58.97808708
93	58.95539396
94	58.93567049
95	58.90895794
96	58.88975195
97	58.86724798
98	58.82912556
99	58.80302925
100	58.78825863
101	58.76759343
102	58.73989454
103	58.72231418
104	58.6973713
105	58.67777401
106	58.66480276
107	58.64076481
108	58.61255287
109	58.59883441
110	58.56231787
111	58.53241812
112	58.51677165
113	58.48491998
114	58.46820839
115	58.44626092
116	58.42891049
117	58.41337884
118	58.39184321
119	58.37092688
120	58.35399472
121	58.34142532
122	58.33799379
123	58.31105258
124	58.29925112
125	58.272255
126	58.25165598
127	58.23452374
128	58.22483782
129	58.2111287
130	58.19487767
131	58.18271047
132	58.16921741
133	58.15891372
134	58.13559181
135	58.12163612
136	58.09659418
137	58.08009199
138	58.07061877
139	58.05684425
140	58.05539575
141	58.02190166
142	58.00727003
143	57.99289274
144	57.97034226
145	57.94471191
146	57.92767399
147	57.91658746
148	57.88489688
149	57.87853206
150	57.85401817
151	57.83602463
152	57.8086855
153	57.7806128
154	57.75233162
155	57.73053815
156	57.70347559
157	57.68323033
158	57.66689993
159	57.64455459
160	57.62812262
161	57.61186173
162	57.58800035
163	57.58490771
164	57.57175382
165	57.53353536
166	57.51948294
167	57.50077559
168	57.48438823
169	57.46318815
170	57.45240059
171	57.43363052
172	57.41438421
173	57.39926969
174	57.37679907
175	57.35185686
176	57.33511701
177	57.31241928
178	57.2936347
179	57.2717635
180	57.2603426
181	57.23277761
182	57.2131774
183	57.19369941
184	57.17371804
185	57.15036506
186	57.12701769
187	57.08721291
188	57.07638655
189	57.03940081
190	57.024192
191	57.00717559
192	56.99525138
193	56.97991399
194	56.96798851
195	56.93982991
196	56.9185827
197	56.90172956
198	56.88300023
199	56.86724843
200	56.85257675
201	56.84085669
202	56.82942942
203	56.80035583
204	56.75756893
205	56.73736213
206	56.70937505
207	56.69721419
208	56.66606338
209	56.64789153
210	56.63075183
211	56.61344701
212	56.59846113
213	56.58732952
214	56.57194751
215	56.5555986
216	56.5405711
217	56.49789108
218	56.48535613
219	56.47033251
220	56.45437118
221	56.43725803
222	56.42012969
223	56.38446183
224	56.36407275
225	56.34501821
226	56.32763999
227	56.30704179
228	56.29245189
229	56.25632685
230	56.23102286
231	56.21306771
232	56.20645877
233	56.20070337
234	56.17470043
235	56.16322301
236	56.14273555
237	56.12784287
238	56.11290555
239	56.08967828
240	56.06733418
241	56.05253312
242	56.03394152
243	56.01403344
244	55.99498879
245	55.98425045
246	55.95558915
247	55.93970711
248	55.92672492
249	55.90737165
250	55.89405109
251	55.86216642
252	55.83049595
253	55.80949425
254	55.79613186
255	55.78415981
256	55.76440504
257	55.75165476
258	55.71955442
259	55.70519027
260	55.68488306
261	55.65898322
262	55.63787562
263	55.61799233
264	55.60480227
265	55.5879999
266	55.56262296
267	55.54119957
268	55.51527853
269	55.50002592
270	55.4829418
271	55.46964564
272	55.44299888
273	55.42733499
274	55.3992963
275	55.38472186
276	55.36501686
277	55.35244825
278	55.33141975
279	55.31279012
280	55.29959471
281	55.27562713
282	55.26101549
283	55.24972626
284	55.23507432
285	55.21862235
286	55.2061284
287	55.18315047
288	55.16544743
289	55.14614705
290	55.132349
291	55.11736125
292	55.09723956
293	55.06878007
294	55.04973704
295	55.0331044
296	55.00492658
297	54.98545731
298	54.96892235
299	54.95295473
300	54.93703037
301	54.92411079
302	54.90674199
303	54.89383502
304	54.87641781
305	54.86204456
306	54.84100976
307	54.8309971
308	54.81688018
309	54.79917299
310	54.77573926
311	54.75277459
312	54.74393608
313	54.7231552
314	54.70613756
315	54.69345245
316	54.67262215
317	54.64546705
318	54.62324536
319	54.59002341
320	54.5692078
321	54.54944581
322	54.53079086
323	54.50277708
324	54.48694775
325	54.46153664
326	54.44035359
327	54.42444611
328	54.40822169
329	54.40010184
330	54.39053743
331	54.36799317
332	54.35176577
333	54.33052411
334	54.30654054
335	54.29301998
336	54.28157333
337	54.26594349
338	54.24747814
339	54.23361137
340	54.21505628
341	54.1966817
342	54.18400239
343	54.16991189
344	54.14090296
345	54.12433102
346	54.10726627
347	54.09789981
348	54.07850032
349	54.04945041
350	54.03094828
351	54.01861285
352	54.00678162
353	53.98629836
354	53.97774474
355	53.95411322
356	53.93409523
357	53.91518197
358	53.90235096
359	53.87870165
360	53.86456398
361	53.85604458
362	53.83769894
363	53.824938
364	53.80822475
365	53.78766384
366	53.77493929
367	53.76142338
368	53.75076319
369	53.73717223
370	53.72745428
371	53.71456279
372	53.70247398
373	53.68660274
374	53.6695264
375	53.6613378
376	53.64567052
377	53.62703404
378	53.61615012
379	53.60055132
380	53.58897251
381	53.57545423
382	53.56197924
383	53.54440167
384	53.52963521
385	53.50719505
386	53.49869787
387	53.48051196
388	53.46723214
389	53.44027278
390	53.4320598
391	53.41526944
392	53.39875782
393	53.37634382
394	53.36484052
395	53.34644466
396	53.32928375
397	53.30998669
398	53.29093876
399	53.28142102
400	53.26554485
401	53.24209544
402	53.22816699
403	53.21539599
404	53.1976588
405	53.18960441
406	53.17335972
407	53.15269336
408	53.13864249
409	53.12085859
410	53.102388
411	53.07941979
412	53.06203561
413	53.04036251
414	53.02178393
415	53.00339033
416	52.99538882
417	52.97149054
418	52.9541433
419	52.94302001
420	52.92317164
421	52.8987498
422	52.88583344
423	52.87007972
424	52.8540816
425	52.83662567
426	52.82197301
427	52.80402377
428	52.78404534
429	52.77415962
430	52.75326653
431	52.73657328
432	52.72466433
433	52.70867873
434	52.70041665
435	52.67744013
436	52.66707326
437	52.65361672
438	52.64205935
439	52.612937
440	52.59099942
441	52.58023787
442	52.5675965
443	52.55544525
444	52.52843327
445	52.51252753
446	52.50265483
447	52.48807031
448	52.47616461
449	52.46000793
450	52.44587266
451	52.43340048
452	52.41811663
453	52.39930229
454	52.38622517
455	52.37013518
456	52.35841747
457	52.33895586
458	52.3229616
459	52.30850026
460	52.30096721
461	52.28266535
462	52.26955581
463	52.25573396
464	52.24404101
465	52.22891692
466	52.2055331
467	52.18888666
468	52.17548049
469	52.15987016
470	52.14862926
471	52.13568301
472	52.12442839
473	52.1146437
474	52.10161744
475	52.08588963
476	52.06437657
477	52.05273068
478	52.04098744
479	52.02639932
480	52.01766625
481	52.00463182
482	51.99038123
483	51.97914919
484	51.96351768
485	51.94968221
486	51.94154787
487	51.92924429
488	51.92074934
489	51.90890499
490	51.88784999
491	51.86847877
492	51.85045947
493	51.83293235
494	51.82253457
495	51.81215408
496	51.8011245
497	51.79265627
498	51.78757704
499	51.76870771
500	51.76102602
501	51.73599024
502	51.72673739
503	51.71728715
504	51.7106617
505	51.69954006
506	51.68887139
507	51.67588549
508	51.65974935
509	51.64202256
510	51.61951731
511	51.60772978
512	51.5979522
513	51.58652874
514	51.57283308
515	51.55703136
516	51.540916
517	51.52535155
518	51.51429236
519	51.50510169
520	51.48235836
521	51.4652678
522	51.45782918
523	51.44176314
524	51.43102587
525	51.41167163
526	51.40333316
527	51.38456315
528	51.37574413
529	51.36132573
530	51.35202056
531	51.3377312
532	51.32800959
533	51.31807619
534	51.3091791
535	51.29709336
536	51.28862244
537	51.27809741
538	51.25315493
539	51.24369515
540	51.23460244
541	51.22464799
542	51.21496727
543	51.20015749
544	51.18132726
545	51.16252057
546	51.15510552
547	51.14719516
548	51.13962826
549	51.13088563
550	51.12041806
551	51.10224998
552	51.08929612
553	51.07608495
554	51.06113146
555	51.05410737
556	51.0382665
557	51.0264115
558	51.0121572
559	50.99802269
560	50.9835602
561	50.97131057
562	50.94858186
563	50.9382261
564	50.92244557
565	50.90969688
566	50.89544334
567	50.87299787
568	50.8598589
569	50.84860969
570	50.83121126
571	50.8193833
572	50.79757075
573	50.78780587
574	50.77793289
575	50.76147528
576	50.75318374
577	50.73069031
578	50.72115213
579	50.70632815
580	50.6933247
581	50.68365546
582	50.67070464
583	50.6583155
584	50.6464081
585	50.63351112
586	50.62199892
587	50.60810411
588	50.59236151
589	50.57772391
590	50.56460646
591	50.55497019
592	50.54711617
593	50.53792508
594	50.5300885
595	50.51368235
596	50.50235717
597	50.48264746
598	50.46492833
599	50.45100783
600	50.43945258
601	50.42731405
602	50.41566288
603	50.40370718
604	50.39476857
605	50.37555872
606	50.36725331
607	50.35914574
608	50.34711113
609	50.32813909
610	50.31656953
611	50.31221009
612	50.29973343
613	50.28558617
614	50.27709761
615	50.26616791
616	50.25616069
617	50.24917463
618	50.24055541
619	50.23219749
620	50.21445855
621	50.20480407
622	50.19146279
623	50.18163193
624	50.16191316
625	50.14888486
626	50.14005261
627	50.13164653
628	50.1225013
629	50.11171494
630	50.10114458
631	50.08595309
632	50.06798049
633	50.04918506
634	50.03787346
635	50.02985584
636	50.02234002
637	50.01343509
638	50.00603221
639	49.99876135
640	49.98759314
641	49.97664201
642	49.96261201
643	49.94559549
644	49.9323776
645	49.92299369
646	49.91042177
647	49.89067464
648	49.88205892
649	49.87318402
650	49.85819233
651	49.8451573
652	49.83288562
653	49.82672316
654	49.8091416
655	49.79267157
656	49.7804876
657	49.77304568
658	49.76137441
659	49.75303755
660	49.73668111
661	49.72539995
662	49.71923787
663	49.71162749
664	49.69804067
665	49.68652681
666	49.67195457
667	49.66275343
668	49.64276315
669	49.62611205
670	49.61370431
671	49.60517093
672	49.59668037
673	49.5797234
674	49.57166649
675	49.5654751
676	49.55302229
677	49.54200223
678	49.52609658
679	49.51174118
680	49.50268443
681	49.48428922
682	49.4765125
683	49.45655483
684	49.44848525
685	49.43899619
686	49.43146812
687	49.42505937
688	49.41672209
689	49.40130432
690	49.38711354
691	49.38099756
692	49.373036
693	49.36744731
694	49.35354621
695	49.34361164
696	49.34016629
697	49.33313498
698	49.32625478
699	49.31033863
700	49.29937094
701	49.29015462
702	49.2816224
703	49.27506195
704	49.26028661
705	49.25278597
706	49.24511341
707	49.23595727
708	49.22769813
709	49.21994544
710	49.20297889
711	49.19431513
712	49.1849809
713	49.16817962
714	49.1589332
715	49.14990044
716	49.14143367
717	49.12797206
718	49.11412389
719	49.10566021
720	49.09270625
721	49.07834291
722	49.07105589
723	49.05752892
724	49.05077904
725	49.03901701
726	49.02608551
727	49.01703867
728	49.00482805
729	48.99870442
730	48.97983218
731	48.9648689
732	48.95547973
733	48.94117172
734	48.92846364
735	48.92474844
736	48.91555165
737	48.90291053
738	48.88995527
739	48.87283612
740	48.85894113
741	48.8484122
742	48.83819002
743	48.82430397
744	48.81117692
745	48.80018325
746	48.78808936
747	48.77919661
748	48.76957099
749	48.75238235
750	48.73594515
751	48.72804098
752	48.71969982
753	48.70062249
754	48.69366232
755	48.68298504
756	48.67438206
757	48.6639381
758	48.64778886
759	48.64079776
760	48.632941
761	48.61989165
762	48.61492167
763	48.60928441
764	48.59992638
765	48.59038726
766	48.57654045
767	48.56547348
768	48.55390729
769	48.53483843
770	48.52403947
771	48.50830703
772	48.50113307
773	48.4857437
774	48.47353691
775	48.46675961
776	48.45537241
777	48.4480662
778	48.43573092
779	48.42550434
780	48.41106772
781	48.4060748
782	48.39385238
783	48.3826695
784	48.37366679
785	48.35566673
786	48.34733592
787	48.33879504
788	48.33151228
789	48.31403145
790	48.30226346
791	48.29889298
792	48.28852412
793	48.27858065
794	48.26720425
795	48.25918988
796	48.24625868
797	48.24087557
798	48.22537274
799	48.2146455
800	48.20145911
801	48.19339163
802	48.17622212
803	48.16652785
804	48.15360303
805	48.13767373
806	48.1227823
807	48.11347599
808	48.09629518
809	48.086312
810	48.0733479
811	48.06672692
812	48.0568105
813	48.04895232
814	48.04453774
815	48.02293694
816	48.01572498
817	48.00543418
818	47.99530281
819	47.98917227
820	47.97707432
821	47.9699849
822	47.95241268
823	47.9399417
824	47.93138962
825	47.91430267
826	47.89874175
827	47.88825504
828	47.87299506
829	47.8534496
830	47.84288045
831	47.8365028
832	47.82593423
833	47.81781527
834	47.80670618
835	47.79752442
836	47.78362107
837	47.77049837
838	47.75922804
839	47.75039311
840	47.74525008
841	47.73709573
842	47.72874378
843	47.71484836
844	47.70974616
845	47.69903901
846	47.68469388
847	47.67395906
848	47.6648253
849	47.65363545
850	47.64073887
851	47.62802475
852	47.62174994
853	47.61338359
854	47.59815147
855	47.58663983
856	47.57641464
857	47.56526656
858	47.55179995
859	47.53649895
860	47.52071711
861	47.51188387
862	47.50330807
863	47.49506149
864	47.48456772
865	47.4722825
866	47.46204383
867	47.44974363
868	47.44159305
869	47.43399503
870	47.41960883
871	47.40988545
872	47.39877473
873	47.39105606
874	47.3810235
875	47.37611289
876	47.36360407
877	47.35404362
878	47.34495793
879	47.33872692
880	47.33012961
881	47.3226226
882	47.31460306
883	47.30136787
884	47.28675881
885	47.27706082
886	47.26411373
887	47.25306293
888	47.24013393
889	47.23388336
890	47.22080864
891	47.20999195
892	47.20123987
893	47.19183385
894	47.18401258
895	47.17144795
896	47.16005768
897	47.15327629
898	47.14532756
899	47.13522349
900	47.13067453
901	47.11709055
902	47.11019814
903	47.10176817
904	47.08716568
905	47.07354083
906	47.05671222
907	47.0370521
908	47.02823742
909	47.01358663
910	47.00636572
911	46.99759093
912	46.98989419
913	46.97961438
914	46.97417253
915	46.96227801
916	46.94653131
917	46.9373269
918	46.92772222
919	46.91758355
920	46.90774624
921	46.89358471
922	46.87836175
923	46.86718371
924	46.85711929
925	46.84652323
926	46.83195513
927	46.82816692
928	46.81461974
929	46.80392869
930	46.79720049
931	46.79018629
932	46.78376069
933	46.77351367
934	46.76483141
935	46.75527516
936	46.74302396
937	46.73734786
938	46.72586935
939	46.72058438
940	46.71163396
941	46.69489296
942	46.68104922
943	46.67464244
944	46.66521699
945	46.65927121
946	46.65037635
947	46.64001978
948	46.63299904
949	46.62753444
950	46.61797543
951	46.60599413
952	46.59502591
953	46.58231261
954	46.5771868
955	46.56311105
956	46.55448517
957	46.54362583
958	46.53640909
959	46.52034028
960	46.50088122
961	46.49194035
962	46.48402682
963	46.47017428
964	46.45700272
965	46.44540397
966	46.4298988
967	46.4177687
968	46.40620395
969	46.39689444
970	46.38987071
971	46.37328834
972	46.36387668
973	46.35429302
974	46.34166487
975	46.33541875
976	46.32078673
977	46.31099303
978	46.30156969
979	46.2902134
980	46.27597715
981	46.26124195
982	46.24842501
983	46.24532548
984	46.23857569
985	46.23170053
986	46.22191822
987	46.20892146
988	46.19885899
989	46.18844073
990	46.17490916
991	46.16126631
992	46.15353788
993	46.14212222
994	46.13569262
995	46.1285204
996	46.11808235
997	46.10688976
998	46.10125869
999	46.08951823
